Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-30 04:00:00-05:00,178.5,179.24,173.22,176.01,0,0.0,0.0
2023-01-30 05:00:00-05:00,176.05,177.19,174.8,176.3,0,0.0,0.0
2023-01-30 06:00:00-05:00,176.32,177.36,176.3,176.61,0,0.0,0.0
2023-01-30 07:00:00-05:00,176.64,176.8,175.02,175.94,0,0.0,0.0
2023-01-30 08:00:00-05:00,175.95,181.63,173.2315,179.78,0,0.0,0.0
2023-01-30 09:00:00-05:00,179.78,180.33,167.13,178.12,0,0.0,0.0
2023-01-30 09:30:00-05:00,178.0500030517578,179.77000427246094,171.5,172.77999877929688,72226263,0.0,0.0
2023-01-30 10:30:00-05:00,172.80990600585938,173.5,168.3000030517578,173.16580200195312,46553404,0.0,0.0
2023-01-30 11:30:00-05:00,173.14999389648438,173.80999755859375,171.5500030517578,173.17010498046875,25597551,0.0,0.0
2023-01-30 12:30:00-05:00,173.17999267578125,173.3300018310547,171.12559509277344,171.33999633789062,18951845,0.0,0.0
2023-01-30 13:30:00-05:00,171.33470153808594,171.33999633789062,168.77999877929688,169.5399932861328,23063568,0.0,0.0
2023-01-30 14:30:00-05:00,169.49000549316406,170.2100067138672,167.57000732421875,168.10000610351562,21524745,0.0,0.0
2023-01-30 15:30:00-05:00,168.08999633789062,168.72999572753906,166.5,166.77999877929688,16941722,0.0,0.0
2023-01-30 16:00:00-05:00,166.78,167.29,166.0,167.05,0,0.0,0.0
2023-01-30 17:00:00-05:00,167.0,290.12094,116.53,166.36,0,0.0,0.0
2023-01-30 18:00:00-05:00,166.38,167.25,166.2,166.59,0,0.0,0.0
