Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-26 04:00:00-05:00,142.2,142.98,142.2,142.45,0,0.0,0.0
2023-01-26 05:00:00-05:00,142.46,142.57,142.16,142.48,0,0.0,0.0
2023-01-26 06:00:00-05:00,142.49,142.76,142.42,142.63,0,0.0,0.0
2023-01-26 07:00:00-05:00,142.63,142.7,142.4,142.4,0,0.0,0.0
2023-01-26 08:00:00-05:00,142.4,143.43,141.89,142.7,0,0.0,0.0
2023-01-26 09:00:00-05:00,142.7,143.29,139.825,143.095,0,0.0,0.0
2023-01-26 09:30:00-05:00,143.1699981689453,144.25,142.6699981689453,143.52499389648438,14281273,0.0,0.0
2023-01-26 10:30:00-05:00,143.52499389648438,143.64999389648438,141.89999389648438,142.36000061035156,6984718,0.0,0.0
2023-01-26 11:30:00-05:00,142.35000610351562,143.27000427246094,142.19000244140625,142.8699951171875,4829127,0.0,0.0
2023-01-26 12:30:00-05:00,142.86000061035156,143.0800018310547,142.49000549316406,142.86000061035156,3765959,0.0,0.0
2023-01-26 13:30:00-05:00,142.8699951171875,143.83250427246094,142.8699951171875,143.5301055908203,5382072,0.0,0.0
2023-01-26 14:30:00-05:00,143.53500366210938,143.75999450683594,143.25,143.52000427246094,4884505,0.0,0.0
2023-01-26 15:30:00-05:00,143.51499938964844,144.0399932861328,143.32000732421875,143.94000244140625,6619001,0.0,0.0
2023-01-26 16:00:00-05:00,143.92,149.385,143.00308,143.65,0,0.0,0.0
2023-01-26 17:00:00-05:00,143.67,143.96,143.4,143.48,0,0.0,0.0
2023-01-26 18:00:00-05:00,143.46,143.6,143.4,143.44,0,0.0,0.0
