Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-30 04:00:00-05:00,100.71,100.71,99.38,99.46,0,0.0,0.0
2023-01-30 05:00:00-05:00,99.56,99.59,99.25,99.26,0,0.0,0.0
2023-01-30 06:00:00-05:00,99.25,99.41,99.21,99.25,0,0.0,0.0
2023-01-30 07:00:00-05:00,99.21,99.62,98.89,99.41,0,0.0,0.0
2023-01-30 08:00:00-05:00,99.43,100.71,98.8915,99.305,0,0.0,0.0
2023-01-30 09:00:00-05:00,99.3485,99.6291,99.08,99.44,0,0.0,0.0
2023-01-30 09:30:00-05:00,98.74500274658203,99.40879821777344,98.30000305175781,98.54000091552734,5141011,0.0,0.0
2023-01-30 10:30:00-05:00,98.53500366210938,98.53500366210938,97.5199966430664,98.41999816894531,3016879,0.0,0.0
2023-01-30 11:30:00-05:00,98.44000244140625,98.79000091552734,98.19000244140625,98.6050033569336,1777930,0.0,0.0
2023-01-30 12:30:00-05:00,98.5999984741211,98.78250122070312,98.11000061035156,98.69499969482422,1568810,0.0,0.0
2023-01-30 13:30:00-05:00,98.68000030517578,98.69000244140625,98.23999786376953,98.33999633789062,1348898,0.0,0.0
2023-01-30 14:30:00-05:00,98.32499694824219,98.44000244140625,97.91500091552734,98.01499938964844,2634400,0.0,0.0
2023-01-30 15:30:00-05:00,98.01480102539062,98.26000213623047,97.83000183105469,97.97000122070312,3432751,0.0,0.0
2023-01-30 16:00:00-05:00,97.98,98.28,97.89,98.18,0,0.0,0.0
2023-01-30 17:00:00-05:00,98.19,98.67,97.95,98.03,0,0.0,0.0
2023-01-30 18:00:00-05:00,98.095,98.29,98.03,98.25,0,0.0,0.0
